Week ending,Jurisdiction,Age group,Cumulative number of people who have received at least 1 dose,Cumulative number of people who have completed the primary series,"Cumulative number of people who, in the last months, have completed the primary series or received a booster dose",Cumulative percent of people who have received at least 1 dose,Cumulative percent of people who have completed the primary series,"Cumulative percent of people who, in the last months, have completed the primary series or received a booster dose"
2021-06-19,Alberta,18 years and older,"2,438,104","1,062,607",n/a,70.30%,30.60%,n/a
2021-06-19,British Columbia,Total population,"3,475,832","898,537",n/a,66.70%,17.20%,n/a
2021-06-19,British Columbia,5 years and older,"3,475,832","898,537",n/a,69.60%,18.00%,n/a
2021-06-19,British Columbia,12 years and older,"3,466,600","898,531",n/a,74.60%,19.30%,n/a
2021-06-19,British Columbia,18 years and older,"3,291,519","897,434",n/a,75.80%,20.70%,n/a
2021-06-19,Yukon,Total population,"28,212","25,729",n/a,65.40%,59.70%,n/a
2021-06-19,Yukon,5 years and older,"28,065","25,646",n/a,68.60%,62.70%,n/a
2021-06-19,Yukon,12 years and older,"28,065","25,646",n/a,74.70%,68.30%,n/a
2021-06-19,Yukon,18 years and older,"28,065","25,646",n/a,80.50%,73.60%,n/a
2021-06-19,Northwest Territories,Total population,"26,578","23,301",n/a,61.10%,53.60%,n/a
2021-06-19,Northwest Territories,5 years and older,"26,530","23,279",n/a,65.20%,57.20%,n/a
2021-06-19,Northwest Territories,12 years and older,"26,505","23,279",n/a,72.50%,63.60%,n/a
2021-06-19,Northwest Territories,18 years and older,"24,485","22,103",n/a,73.80%,66.60%,n/a
2021-06-19,Nunavut,Total population,"19,951","15,835",n/a,50.60%,40.20%,n/a
2021-06-19,Nunavut,5 years and older,"19,818","15,746",n/a,56.10%,44.60%,n/a
2021-06-19,Nunavut,12 years and older,"19,818","15,746",n/a,67.30%,53.50%,n/a
2021-06-19,Nunavut,18 years and older,"18,679","15,746",n/a,74.80%,63.00%,n/a
2021-06-26,Canada,Total population,"25,455,382","10,321,720",n/a,66.60%,27.00%,n/a
2021-06-26,Canada,5 years and older,"25,431,312","10,313,657",n/a,69.90%,28.40%,n/a
2021-06-26,Canada,12 years and older,"25,421,182","10,313,641",n/a,75.90%,30.80%,n/a
2021-06-26,Canada,18 years and older,"23,855,029","10,212,432",n/a,76.90%,32.90%,n/a
2021-06-26,Newfoundland and Labrador,Total population,"378,807","79,374",n/a,72.80%,15.20%,n/a
2021-06-26,Newfoundland and Labrador,5 years and older,"376,356","76,020",n/a,75.10%,15.20%,n/a
2021-06-26,Newfoundland and Labrador,12 years and older,"376,337","76,020",n/a,80.50%,16.30%,n/a
2021-06-26,Newfoundland and Labrador,18 years and older,"355,170","75,816",n/a,81.40%,17.40%,n/a
2021-06-26,Prince Edward Island,Total population,"114,423","28,349",n/a,69.60%,17.30%,n/a
2021-06-26,Prince Edward Island,5 years and older,"114,335","28,330",n/a,72.70%,18.00%,n/a
2021-06-26,Prince Edward Island,12 years and older,"114,335","28,330",n/a,78.60%,19.50%,n/a
2021-06-26,Prince Edward Island,18 years and older,"106,880","28,294",n/a,79.50%,21.00%,n/a
2021-06-26,Nova Scotia,Total population,"698,309","168,241",n/a,70.40%,17.00%,n/a
2021-06-26,Nova Scotia,5 years and older,"698,307","168,240",n/a,73.50%,17.70%,n/a
2021-06-26,Nova Scotia,12 years and older,"698,307","168,240",n/a,79.00%,19.00%,n/a
2021-06-26,Nova Scotia,18 years and older,"658,527","168,128",n/a,79.70%,20.30%,n/a
2021-06-26,New Brunswick,Total population,"531,234","199,865",n/a,67.30%,25.30%,n/a
2021-06-26,New Brunswick,5 years and older,"531,111","199,777",n/a,70.20%,26.40%,n/a
2021-06-26,New Brunswick,12 years and older,"531,106","199,777",n/a,75.70%,28.50%,n/a
2021-06-26,New Brunswick,18 years and older,"501,003","198,890",n/a,76.70%,30.40%,n/a
2021-06-26,Quebec,Total population,"5,996,065","2,160,492",n/a,69.70%,25.10%,n/a
2021-06-26,Quebec,5 years and older,"5,996,065","2,160,492",n/a,73.30%,26.40%,n/a
2021-06-26,Quebec,12 years and older,"5,996,065","2,160,492",n/a,79.60%,28.70%,n/a
2021-06-26,Quebec,18 years and older,"5,608,686","2,142,914",n/a,80.10%,30.60%,n/a
2021-06-26,Ontario,Total population,"9,864,684","4,169,080",n/a,66.50%,28.10%,n/a
2021-06-26,Ontario,5 years and older,"9,857,535","4,165,720",n/a,69.80%,29.50%,n/a
2021-06-26,Ontario,12 years and older,"9,857,535","4,165,720",n/a,75.60%,32.00%,n/a
2021-06-26,Ontario,18 years and older,"9,265,279","4,117,406",n/a,76.70%,34.10%,n/a
2021-06-26,Manitoba,Total population,"870,030","435,269",n/a,62.90%,31.50%,n/a
2021-06-26,Manitoba,5 years and older,"869,931","435,256",n/a,66.80%,33.40%,n/a
2021-06-26,Manitoba,12 years and older,"869,931","435,256",n/a,74.00%,37.00%,n/a
2021-06-26,Manitoba,18 years and older,"816,218","429,615",n/a,76.00%,40.00%,n/a
2021-06-26,Saskatchewan,Total population,"710,002","402,731",n/a,60.20%,34.10%,n/a
2021-06-26,Saskatchewan,5 years and older,"709,815","402,638",n/a,64.10%,36.40%,n/a
2021-06-26,Saskatchewan,12 years and older,"709,787","402,638",n/a,71.20%,40.40%,n/a
2021-06-26,Saskatchewan,18 years and older,"658,994","397,918",n/a,72.60%,43.80%,n/a
2021-06-26,Alberta,Total population,"2,663,494","1,292,072",n/a,59.90%,29.10%,n/a
2021-06-26,Alberta,5 years and older,"2,649,806","1,291,095",n/a,63.30%,30.90%,n/a
2021-06-26,Alberta,12 years and older,"2,649,806","1,291,095",n/a,69.90%,34.00%,n/a
2021-06-26,Alberta,18 years and older,"2,460,858","1,271,217",n/a,70.90%,36.60%,n/a
2021-06-26,British Columbia,Total population,"3,549,916","1,319,651",n/a,68.10%,25.30%,n/a
2021-06-26,British Columbia,5 years and older,"3,549,916","1,319,651",n/a,71.10%,26.40%,n/a
2021-06-26,British Columbia,12 years and older,"3,539,902","1,319,635",n/a,76.20%,28.40%,n/a
2021-06-26,British Columbia,18 years and older,"3,351,083","1,317,677",n/a,77.20%,30.40%,n/a
2021-06-26,Yukon,Total population,"30,432","26,660",n/a,70.60%,61.80%,n/a
2021-06-26,Yukon,5 years and older,"30,298","26,579",n/a,74.10%,65.00%,n/a
2021-06-26,Yukon,12 years and older,"30,298","26,579",n/a,80.70%,70.80%,n/a
2021-06-26,Yukon,18 years and older,"28,566","26,056",n/a,81.90%,74.70%,n/a
2021-06-26,Northwest Territories,Total population,"26,936","23,785",n/a,62.00%,54.70%,n/a
2021-06-26,Northwest Territories,5 years and older,"26,879","23,757",n/a,66.10%,58.40%,n/a
2021-06-26,Northwest Territories,12 years and older,"26,815","23,757",n/a,73.30%,65.00%,n/a
2021-06-26,Northwest Territories,18 years and older,"24,721","22,399",n/a,74.50%,67.50%,n/a
2021-06-26,Nunavut,Total population,"21,050","16,151",n/a,53.40%,41.00%,n/a
2021-06-26,Nunavut,5 years and older,"20,958","16,102",n/a,59.30%,45.60%,n/a
2021-06-26,Nunavut,12 years and older,"20,958","16,102",n/a,71.20%,54.70%,n/a
2021-06-26,Nunavut,18 years and older,"19,044","16,102",n/a,76.20%,64.40%,n/a
2021-07-03,Canada,Total population,"25,811,637","13,647,166",n/a,67.50%,35.70%,n/a
2021-07-03,Canada,5 years and older,"25,786,993","13,637,321",n/a,70.90%,37.50%,n/a
2021-07-03,Canada,12 years and older,"25,776,637","13,637,285",n/a,77.00%,40.70%,n/a
2021-07-03,Canada,18 years and older,"24,156,581","13,404,440",n/a,77.90%,43.20%,n/a
2021-07-03,Newfoundland and Labrador,Total population,"384,504","108,647",n/a,73.90%,20.90%,n/a
2021-07-03,Newfoundland and Labrador,5 years and older,"381,962","107,054",n/a,76.20%,21.40%,n/a
2021-07-03,Newfoundland and Labrador,12 years and older,"381,941","107,054",n/a,81.70%,22.90%,n/a
2021-07-03,Newfoundland and Labrador,18 years and older,"359,282","106,528",n/a,82.30%,24.40%,n/a
2021-07-03,Prince Edward Island,Total population,"117,263","37,040",n/a,71.40%,22.50%,n/a
2021-07-03,Prince Edward Island,5 years and older,"117,161","37,010",n/a,74.50%,23.50%,n/a
2021-07-03,Prince Edward Island,12 years and older,"117,161","37,010",n/a,80.60%,25.40%,n/a
2021-07-03,Prince Edward Island,18 years and older,"109,382","36,952",n/a,81.40%,27.50%,n/a
2021-07-03,Nova Scotia,Total population,"703,055","276,930",n/a,70.90%,27.90%,n/a
2021-07-03,Nova Scotia,5 years and older,"703,053","276,929",n/a,74.00%,29.10%,n/a
2021-07-03,Nova Scotia,12 years and older,"703,053","276,929",n/a,79.50%,31.30%,n/a
2021-07-03,Nova Scotia,18 years and older,"662,551","276,365",n/a,80.20%,33.40%,n/a
2021-07-03,New Brunswick,Total population,"537,882","274,442",n/a,68.20%,34.80%,n/a
2021-07-03,New Brunswick,5 years and older,"537,762","274,357",n/a,71.10%,36.30%,n/a
2021-07-03,New Brunswick,12 years and older,"537,757","274,357",n/a,76.60%,39.10%,n/a
2021-07-03,New Brunswick,18 years and older,"506,695","271,260",n/a,77.50%,41.50%,n/a
2021-07-03,Quebec,Total population,"6,047,454","2,802,885",n/a,70.30%,32.60%,n/a
2021-07-03,Quebec,5 years and older,"6,047,447","2,802,878",n/a,73.90%,34.30%,n/a
2021-07-03,Quebec,12 years and older,"6,047,447","2,802,878",n/a,80.30%,37.20%,n/a
2021-07-03,Quebec,18 years and older,"5,653,830","2,781,631",n/a,80.70%,39.70%,n/a
2021-07-03,Ontario,Total population,"10,006,851","5,556,575",n/a,67.50%,37.50%,n/a
2021-07-03,Ontario,5 years and older,"9,999,807","5,552,728",n/a,70.90%,39.30%,n/a
2021-07-03,Ontario,12 years and older,"9,999,807","5,552,728",n/a,76.70%,42.60%,n/a
2021-07-03,Ontario,18 years and older,"9,381,455","5,448,267",n/a,77.70%,45.10%,n/a
2021-07-03,Manitoba,Total population,"894,428","583,472",n/a,64.60%,42.20%,n/a
2021-07-03,Manitoba,5 years and older,"894,328","583,454",n/a,68.70%,44.80%,n/a
2021-07-03,Manitoba,12 years and older,"894,328","583,454",n/a,76.00%,49.60%,n/a
2021-07-03,Manitoba,18 years and older,"837,752","569,987",n/a,78.00%,53.00%,n/a
2021-07-03,Saskatchewan,Total population,"719,278","489,880",n/a,61.00%,41.50%,n/a
2021-07-03,Saskatchewan,5 years and older,"719,084","489,784",n/a,65.00%,44.20%,n/a
2021-07-03,Saskatchewan,12 years and older,"719,051","489,784",n/a,72.10%,49.10%,n/a
2021-07-03,Saskatchewan,18 years and older,"666,932","475,980",n/a,73.50%,52.40%,n/a
2021-07-03,Alberta,Total population,"2,717,742","1,776,325",n/a,61.20%,40.00%,n/a
2021-07-03,Alberta,5 years and older,"2,703,497","1,772,335",n/a,64.60%,42.40%,n/a
2021-07-03,Alberta,12 years and older,"2,703,497","1,772,335",n/a,71.30%,46.70%,n/a
2021-07-03,Alberta,18 years and older,"2,509,525","1,702,244",n/a,72.30%,49.10%,n/a
2021-07-03,British Columbia,Total population,"3,603,679","1,672,835",n/a,69.10%,32.10%,n/a
2021-07-03,British Columbia,5 years and older,"3,603,679","1,672,835",n/a,72.20%,33.50%,n/a
2021-07-03,British Columbia,12 years and older,"3,593,458","1,672,799",n/a,77.40%,36.00%,n/a
2021-07-03,British Columbia,18 years and older,"3,396,046","1,669,689",n/a,78.20%,38.50%,n/a
2021-07-03,Yukon,Total population,"30,804","27,392",n/a,71.40%,63.50%,n/a
2021-07-03,Yukon,5 years and older,"30,670","27,300",n/a,75.00%,66.80%,n/a
2021-07-03,Yukon,12 years and older,"30,670","27,300",n/a,81.70%,72.70%,n/a
2021-07-03,Yukon,18 years and older,"28,881","26,376",n/a,82.80%,75.60%,n/a
2021-07-03,Northwest Territories,Total population,"27,204","24,228",n/a,62.60%,55.70%,n/a
2021-07-03,Northwest Territories,5 years and older,"27,138","24,190",n/a,66.70%,59.50%,n/a
2021-07-03,Northwest Territories,12 years and older,"27,062","24,190",n/a,74.00%,66.10%,n/a
2021-07-03,Northwest Territories,18 years and older,"24,919","22,694",n/a,75.10%,68.40%,n/a
2021-07-03,Nunavut,Total population,"21,493","16,515",n/a,54.50%,41.90%,n/a
2021-07-03,Nunavut,5 years and older,"21,405","16,467",n/a,60.60%,46.60%,n/a
2021-07-03,Nunavut,12 years and older,"21,405","16,467",n/a,72.70%,56.00%,n/a
2021-07-03,Nunavut,18 years and older,"19,331","16,467",n/a,77.40%,65.90%,n/a
2021-07-10,Canada,Total population,"26,130,322","16,623,185",n/a,68.30%,43.50%,n/a
2021-07-10,Canada,5 years and older,"26,098,919","16,610,615",n/a,71.80%,45.70%,n/a
2021-07-10,Canada,12 years and older,"26,088,262","16,610,472",n/a,77.90%,49.60%,n/a
2021-07-10,Canada,18 years and older,"24,429,442","16,204,146",n/a,78.80%,52.20%,n/a
2021-07-10,Newfoundland and Labrador,Total population,"392,429","154,100",n/a,75.40%,29.60%,n/a
2021-07-10,Newfoundland and Labrador,5 years and older,"385,521","153,823",n/a,77.00%,30.70%,n/a
2021-07-10,Newfoundland and Labrador,12 years and older,"385,499","153,823",n/a,82.40%,32.90%,n/a
2021-07-10,Newfoundland and Labrador,18 years and older,"362,509","152,475",n/a,83.10%,34.90%,n/a
2021-07-10,Prince Edward Island,Total population,"119,738","48,293",n/a,72.90%,29.40%,n/a
2021-07-10,Prince Edward Island,5 years and older,"119,632","48,259",n/a,76.10%,30.70%,n/a
2021-07-10,Prince Edward Island,12 years and older,"119,632","48,259",n/a,82.30%,33.20%,n/a
2021-07-10,Prince Edward Island,18 years and older,"111,525","48,163",n/a,82.90%,35.80%,n/a
2021-07-10,Nova Scotia,Total population,"711,307","393,450",n/a,71.70%,39.70%,n/a
2021-07-10,Nova Scotia,5 years and older,"711,306","393,450",n/a,74.80%,41.40%,n/a
2021-07-10,Nova Scotia,12 years and older,"711,306","393,450",n/a,80.40%,44.50%,n/a
2021-07-10,Nova Scotia,18 years and older,"670,103","390,692",n/a,81.10%,47.30%,n/a
2021-07-10,New Brunswick,Total population,"545,902","347,095",n/a,69.20%,44.00%,n/a
2021-07-10,New Brunswick,5 years and older,"545,780","347,008",n/a,72.20%,45.90%,n/a
2021-07-10,New Brunswick,12 years and older,"545,780","347,008",n/a,77.80%,49.40%,n/a
2021-07-10,New Brunswick,18 years and older,"513,762","337,616",n/a,78.60%,51.70%,n/a
2021-07-10,Quebec,Total population,"6,095,711","3,460,944",n/a,70.80%,40.20%,n/a
2021-07-10,Quebec,5 years and older,"6,095,711","3,460,944",n/a,74.50%,42.30%,n/a
2021-07-10,Quebec,12 years and older,"6,095,711","3,460,944",n/a,80.90%,45.90%,n/a
2021-07-10,Quebec,18 years and older,"5,697,576","3,427,904",n/a,81.40%,48.90%,n/a
2021-07-10,Ontario,Total population,"10,142,704","6,859,065",n/a,68.40%,46.30%,n/a
2021-07-10,Ontario,5 years and older,"10,133,601","6,852,801",n/a,71.80%,48.60%,n/a
2021-07-10,Ontario,12 years and older,"10,133,601","6,852,801",n/a,77.70%,52.60%,n/a
2021-07-10,Ontario,18 years and older,"9,496,969","6,645,630",n/a,78.60%,55.00%,n/a
2021-07-10,Manitoba,Total population,"914,318","676,457",n/a,66.10%,48.90%,n/a
2021-07-10,Manitoba,5 years and older,"914,212","676,437",n/a,70.20%,52.00%,n/a
2021-07-10,Manitoba,12 years and older,"914,212","676,437",n/a,77.70%,57.50%,n/a
2021-07-10,Manitoba,18 years and older,"855,071","652,409",n/a,79.60%,60.70%,n/a
2021-07-10,Saskatchewan,Total population,"729,016","557,942",n/a,61.80%,47.30%,n/a
2021-07-10,Saskatchewan,5 years and older,"728,804","557,840",n/a,65.80%,50.40%,n/a
2021-07-10,Saskatchewan,12 years and older,"728,772","557,840",n/a,73.10%,56.00%,n/a
2021-07-10,Saskatchewan,18 years and older,"675,266","534,836",n/a,74.40%,58.90%,n/a
2021-07-10,Alberta,Total population,"2,747,926","1,984,720",n/a,61.90%,44.70%,n/a
2021-07-10,Alberta,5 years and older,"2,733,414","1,979,165",n/a,65.30%,47.30%,n/a
2021-07-10,Alberta,12 years and older,"2,733,414","1,979,165",n/a,72.10%,52.20%,n/a
2021-07-10,Alberta,18 years and older,"2,536,922","1,883,369",n/a,73.10%,54.30%,n/a
2021-07-10,British Columbia,Total population,"3,650,613","2,070,975",n/a,70.00%,39.70%,n/a
2021-07-10,British Columbia,5 years and older,"3,650,613","2,070,975",n/a,73.10%,41.50%,n/a
2021-07-10,British Columbia,12 years and older,"3,640,088","2,070,839",n/a,78.40%,44.60%,n/a
2021-07-10,British Columbia,18 years and older,"3,435,886","2,064,575",n/a,79.20%,47.60%,n/a
2021-07-10,Yukon,Total population,"31,193","28,206",n/a,72.30%,65.40%,n/a
2021-07-10,Yukon,5 years and older,"31,062","28,110",n/a,76.00%,68.70%,n/a
2021-07-10,Yukon,12 years and older,"31,062","28,110",n/a,82.70%,74.90%,n/a
2021-07-10,Yukon,18 years and older,"29,188","26,716",n/a,83.70%,76.60%,n/a
2021-07-10,Northwest Territories,Total population,"27,443","24,653",n/a,63.10%,56.70%,n/a
2021-07-10,Northwest Territories,5 years and older,"27,364","24,603",n/a,67.30%,60.50%,n/a
2021-07-10,Northwest Territories,12 years and older,"27,286","24,596",n/a,74.60%,67.20%,n/a
2021-07-10,Northwest Territories,18 years and older,"25,100","22,964",n/a,75.60%,69.20%,n/a
2021-07-10,Nunavut,Total population,"22,022","17,285",n/a,55.90%,43.90%,n/a
2021-07-10,Nunavut,5 years and older,"21,899","17,200",n/a,62.00%,48.70%,n/a
2021-07-10,Nunavut,12 years and older,"21,899","17,200",n/a,74.40%,58.40%,n/a
2021-07-10,Nunavut,18 years and older,"19,565","16,797",n/a,78.30%,67.20%,n/a
2021-07-17,Canada,Total population,"26,430,149","19,105,408",n/a,69.10%,50.00%,n/a
2021-07-17,Canada,5 years and older,"26,386,377","19,083,186",n/a,72.60%,52.50%,n/a
2021-07-17,Canada,12 years and older,"26,375,643","19,082,541",n/a,78.80%,57.00%,n/a
2021-07-17,Canada,18 years and older,"24,670,168","18,436,399",n/a,79.50%,59.40%,n/a
2021-07-17,Newfoundland and Labrador,Total population,"397,427","194,224",n/a,76.30%,37.30%,n/a
2021-07-17,Newfoundland and Labrador,5 years and older,"388,461","192,514",n/a,77.50%,38.40%,n/a
2021-07-17,Newfoundland and Labrador,12 years and older,"388,439","192,513",n/a,83.00%,41.20%,n/a
2021-07-17,Newfoundland and Labrador,18 years and older,"365,088","189,604",n/a,83.70%,43.50%,n/a
2021-07-17,Prince Edward Island,Total population,"121,902","58,701",n/a,74.20%,35.70%,n/a
2021-07-17,Prince Edward Island,5 years and older,"121,771","58,639",n/a,77.50%,37.30%,n/a
2021-07-17,Prince Edward Island,12 years and older,"121,771","58,639",n/a,83.70%,40.30%,n/a
2021-07-17,Prince Edward Island,18 years and older,"113,448","58,446",n/a,84.40%,43.50%,n/a
2021-07-17,Nova Scotia,Total population,"724,947","485,212",n/a,73.10%,48.90%,n/a
2021-07-17,Nova Scotia,5 years and older,"724,945","485,212",n/a,76.30%,51.00%,n/a
2021-07-17,Nova Scotia,12 years and older,"724,945","485,212",n/a,82.00%,54.90%,n/a
2021-07-17,Nova Scotia,18 years and older,"683,214","478,108",n/a,82.70%,57.90%,n/a
2021-07-17,New Brunswick,Total population,"552,553","401,290",n/a,70.00%,50.80%,n/a
2021-07-17,New Brunswick,5 years and older,"552,408","401,185",n/a,73.10%,53.10%,n/a
2021-07-17,New Brunswick,12 years and older,"552,408","401,185",n/a,78.70%,57.20%,n/a
2021-07-17,New Brunswick,18 years and older,"519,700","386,904",n/a,79.50%,59.20%,n/a
2021-07-17,Quebec,Total population,"6,147,601","4,033,393",n/a,71.40%,46.90%,n/a
2021-07-17,Quebec,5 years and older,"6,147,366","4,033,393",n/a,75.10%,49.30%,n/a
2021-07-17,Quebec,12 years and older,"6,147,292","4,033,393",n/a,81.60%,53.50%,n/a
2021-07-17,Quebec,18 years and older,"5,742,896","3,962,301",n/a,82.00%,56.60%,n/a
2021-07-17,Ontario,Total population,"10,269,103","7,847,927",n/a,69.30%,52.90%,n/a
2021-07-17,Ontario,5 years and older,"10,263,784","7,844,493",n/a,72.70%,55.60%,n/a
2021-07-17,Ontario,12 years and older,"10,263,784","7,844,493",n/a,78.70%,60.20%,n/a
2021-07-17,Ontario,18 years and older,"9,601,786","7,512,700",n/a,79.50%,62.20%,n/a
2021-07-17,Manitoba,Total population,"929,567","734,336",n/a,67.20%,53.10%,n/a
2021-07-17,Manitoba,5 years and older,"929,458","734,314",n/a,71.40%,56.40%,n/a
2021-07-17,Manitoba,12 years and older,"929,458","734,314",n/a,79.00%,62.40%,n/a
2021-07-17,Manitoba,18 years and older,"867,777","700,663",n/a,80.80%,65.20%,n/a
2021-07-17,Saskatchewan,Total population,"736,406","595,876",n/a,62.40%,50.50%,n/a
2021-07-17,Saskatchewan,5 years and older,"736,186","595,771",n/a,66.50%,53.80%,n/a
2021-07-17,Saskatchewan,12 years and older,"736,155","595,771",n/a,73.80%,59.80%,n/a
2021-07-17,Saskatchewan,18 years and older,"681,711","566,417",n/a,75.10%,62.40%,n/a
2021-07-17,Alberta,Total population,"2,779,941","2,239,847",n/a,62.60%,50.40%,n/a
2021-07-17,Alberta,5 years and older,"2,751,628","2,223,284",n/a,65.80%,53.10%,n/a
2021-07-17,Alberta,12 years and older,"2,751,628","2,223,284",n/a,72.60%,58.60%,n/a
2021-07-17,Alberta,18 years and older,"2,550,662","2,092,937",n/a,73.50%,60.30%,n/a
2021-07-17,British Columbia,Total population,"3,689,083","2,441,919",n/a,70.70%,46.80%,n/a
2021-07-17,British Columbia,5 years and older,"3,689,083","2,441,919",n/a,73.90%,48.90%,n/a
2021-07-17,British Columbia,12 years and older,"3,678,571","2,441,304",n/a,79.20%,52.60%,n/a
2021-07-17,British Columbia,18 years and older,"3,469,339","2,420,656",n/a,79.90%,55.80%,n/a
2021-07-17,Yukon,Total population,"31,424","28,761",n/a,72.90%,66.70%,n/a
2021-07-17,Yukon,5 years and older,"31,306","28,684",n/a,76.60%,70.20%,n/a
2021-07-17,Yukon,12 years and older,"31,306","28,684",n/a,83.40%,76.40%,n/a
2021-07-17,Yukon,18 years and older,"29,399","27,131",n/a,84.30%,77.80%,n/a
2021-07-17,Northwest Territories,Total population,"27,701","25,132",n/a,63.70%,57.80%,n/a
2021-07-17,Northwest Territories,5 years and older,"27,609","25,073",n/a,67.90%,61.60%,n/a
2021-07-17,Northwest Territories,12 years and older,"27,514","25,044",n/a,75.20%,68.50%,n/a
2021-07-17,Northwest Territories,18 years and older,"25,271","23,281",n/a,76.20%,70.20%,n/a
2021-07-17,Nunavut,Total population,"22,494","18,790",n/a,57.10%,47.70%,n/a
2021-07-17,Nunavut,5 years and older,"22,372","18,705",n/a,63.30%,52.90%,n/a
2021-07-17,Nunavut,12 years and older,"22,372","18,705",n/a,76.00%,63.60%,n/a
2021-07-17,Nunavut,18 years and older,"19,877","17,251",n/a,79.50%,69.00%,n/a
2021-07-24,Canada,Total population,"26,690,535","21,175,391",n/a,69.80%,55.40%,n/a
2021-07-24,Canada,5 years and older,"26,645,678","21,150,437",n/a,73.30%,58.20%,n/a
2021-07-24,Canada,12 years and older,"26,635,028","21,148,111",n/a,79.50%,63.20%,n/a
2021-07-24,Canada,18 years and older,"24,889,571","20,236,874",n/a,80.30%,65.20%,n/a
2021-07-24,Newfoundland and Labrador,Total population,"399,946","234,600",n/a,76.80%,45.10%,n/a
2021-07-24,Newfoundland and Labrador,5 years and older,"391,124","232,789",n/a,78.10%,46.50%,n/a
2021-07-24,Newfoundland and Labrador,12 years and older,"391,102","232,788",n/a,83.60%,49.80%,n/a
2021-07-24,Newfoundland and Labrador,18 years and older,"367,406","226,776",n/a,84.20%,52.00%,n/a
